"","Black","Hispanic","Asian"
"white.mean",-0.00338650726353233,-0.00502343627175725,-0.154268292682927
"white.sd",0.041677754409152,0.109289848315087,0.345447532369916
"white.n",9,10,2
"minorities.mean",0.0631443305471036,-0.00242513778345906,0.113646693174373
"minorities.sd",0.152090212515205,0.112999362585708,0.171779393409426
"minorities.n",19,12,6
"p",0.0449019005480406,0.478477180802964,0.231106921532595
