"self.mean" "self.sd" "white.mean" "white.sd" "other.mean" "other.sd" "self_white.p" "self_other.p"
"Black" 0.035943809668292 0.0631534854276651 -0.0688738782113524 0.189720851565139 0.0824992449411053 0.112724908581605 0.0738299236326858 0.668553994649388
"Hispanic" -0.0283751771251771 0.0988574124009961 0.0128831163411199 0.0784544706042636 0.120186705765639 0.203168084483908 0.793497996909676 0.958249488943222
"Asian" 0.138601746052323 0.210187461003591 0.0998853344874838 0.181999890694891 -0.0145440377437323 0.102514927174215 0.384514342656092 0.123091691345654
